rho,lambda_urllc,lambda_embb,urlcc_p95_mean,embb_p95_mean,urlcc_loss_mean,embb_loss_mean,urlcc_mean_delay,embb_mean_delay,urlcc_violation_prob_1ms
0.2,62.5,937.5,0.0008368949539986657,0.0008789487679283423,0.0,0.0,0.00034007638618549556,0.0003505006943364307,0.02484714582762073
0.3,93.75,1406.25,0.0008811821118613672,0.0009852315701467916,0.0,0.0,0.0003612196958470834,0.0003869630834751143,0.030216614519735153
0.4,125.0,1875.0,0.0009212340952571728,0.0011319900821639447,0.0,0.0,0.0003818651619798429,0.00043628069307332886,0.035871965780820476
0.5,156.25,2343.75,0.0009607462619017147,0.0013454282117034918,0.0,0.0,0.00040326555448953977,0.0005063117321237218,0.042609505691412565
0.6,187.5,2812.5,0.0009924024172175902,0.0016666581535485388,0.0,0.0,0.000424492705667029,0.0006121390431307476,0.04847348509624731
0.7,218.75,3281.25,0.001023611251118588,0.0021969276923293176,0.0,0.0,0.0004467144578081194,0.0007875345478834028,0.05497596407114055
0.8,250.0,3750.0,0.001054280831210512,0.00327503736215017,0.0,0.0,0.00046878811753017053,0.0011451693363972709,0.06195194604424572
0.9,281.25,4218.75,0.0010797520479555443,0.006485882332153778,5.005494534539498e-06,3.093015226615668e-06,0.0004905148550066475,0.002212924772318377,0.06808559341874745
